x,y,z
320.19310188244503,457.29698185196406,a
269.0714514783977,429.57694021258027,a
301.74950687294813,421.35209157790933,a
263.36432630843404,429.30500210256474,a
213.13985452186355,447.68807597122606,a
239.6084565489581,419.86608564823035,a
225.6782133845887,409.84150951332754,a
230.64716105889988,385.0675097465007,a
241.45508462247105,406.4163694618542,a
239.18270765981515,344.2892258327192,a
188.48181142476,378.50562658126194,a
219.42146411540745,382.3228150486499,a
264.8195648041733,337.03906540191787,a
204.13901091024258,391.684238220957,a
237.6834407808746,385.0319651467141,a
249.88461705693354,367.4693427274927,a
176.66014492163714,307.97236283027826,a
233.0395107447549,285.0277811175385,a
268.98155477333603,332.5234709430163,a
256.2395784843623,322.71860190772054,a
244.86077317571335,299.9562104859148,a
282.21674966908057,268.9436055865288,a
308.7945408385696,352.41935406039784,a
313.9200089430447,298.7821051651208,a
281.79068562480535,330.61716615437535,a
320.8625680634569,349.6106895402909,a
323.8522303649528,316.2004066263068,a
381.0100123553445,358.75778066099974,a
366.73712393621446,294.187348434019,a
364.58966692325544,355.4051873676734,a
356.75737041719253,345.288606656138,a
377.02002323980633,363.9483298259423,a
408.6999678782334,362.77299455049996,a
414.4642193739827,396.5072528485703,a
377.71939694545,352.5136762596469,a
414.29093482659874,329.4502820209322,a
390.4989607140676,424.0391424772133,a
377.61818565028017,403.800455883718,a
404.5543695973605,453.1471434370791,a
369.70865086753344,478.9709171546519,a
377.37540821880873,419.1622536213181,a
376.2469515883329,479.56102124302026,a
351.35231150354394,426.28005828673486,a
347.38074602964645,422.4342607003557,a
312.92078858626627,457.6394325735334,a
367.31658876878527,470.52561825995735,a
343.1496072600022,457.0452061378217,a
331.54757993210467,466.9261858781171,a
354.489743693724,450.36441496023076,a
335.1481184537401,480.8959446007367,a
310.89172015291496,460.4846019920927,a
259.7260943363589,478.18043276616424,a
281.1994195194686,428.12912318196504,a
298.8450925709326,429.1210380621284,a
269.01938099105155,419.2585766655575,a
284.1308121377251,383.7007702523765,a
289.9721405655404,369.37572006133604,a
288.69784387110644,355.2905647075609,a
250.4661338705626,402.5082922905416,a
246.316997810231,375.9750545772535,a
318.15688026539175,397.42607333009397,a
296.2413069482764,349.3371984425669,a
321.50620310461204,354.608499958141,a
303.51577716009734,400.5148422638405,a
290.18458057532615,377.7847322122501,a
283.8898691196655,356.3665736041806,a
318.58121745237395,394.2355687775196,a
316.37910034076475,337.32224550073124,a
335.45084148871473,352.2031164678591,a
324.45126738241896,378.4500805199732,a
329.20361789283504,351.7936421094581,a
346.531245261907,392.37249212401696,a
295.33526092242107,368.1476912620904,a
323.649919224724,415.3012004955299,a
373.99441696464675,386.1228172607334,a
342.97378724446116,438.69583641709335,a
381.12596148211674,426.70266446010146,a
341.38702106107775,426.9027443204245,a
370.0429707718757,343.3745150291078,a
320.86257422327816,448.6776427608088,a
386.1272609022335,475.83306397546363,a
336.4892102004348,418.16219111905104,a
357.346609005785,436.4101091942589,a
372.98100664982036,460.46547485568817,a
331.69711720240133,388.36729403319185,a
259.10050198857687,413.4283597591562,a
304.5276657013148,441.7234977510634,a
266.1633509221681,425.31700469607557,a
313.91950791346005,452.2667968002301,a
215.92726140822316,410.38238606926245,a
253.90885255759017,420.3250589696948,a
233.82204188145442,461.4375299803977,a
261.0537737803388,392.61858270798473,a
233.70337532276196,396.03131149459966,a
249.64151228455182,397.3087564346429,a
199.35411138537722,360.2799441726507,a
257.04159018394574,390.5716482936641,a
243.84984301941785,379.57034822211006,a
231.74149312007603,352.0424446282632,a
210.7906654610249,394.8524680624407,a
234.33794615560197,361.47852116914004,a
225.08149693750798,364.65398866956053,a
202.75299188809632,339.39600031569375,a
222.6335864435843,315.8162490147124,a
249.82401680106273,408.6028782552994,a
312.59152289581124,344.875037251035,a
323.90096123523074,343.62013479667075,a
326.67759649000584,371.7731851817555,a
355.28341405368155,308.46460049864345,a
353.01413056706343,390.731235980839,a
365.37834964782235,378.9129325415812,a
384.70556857962436,366.8818461995139,a
373.4457309417259,372.8460907303714,a
338.4434819859673,419.0500379861916,a
363.2836125885444,436.00323493855484,a
358.6284088455429,401.76166938927884,a
359.8213399090409,407.38938416658993,a
342.37077675140085,411.13826783925714,a
354.87615836643465,430.75507531376644,a
335.1095201533508,467.6898263991685,a
357.5077290899648,419.6583102851606,a
296.15619149393035,416.90399821181916,a
334.9074954197986,424.53963098673233,a
414.0672473056224,376.5936635447068,a
350.76933808609783,425.72926888367886,a
442.63602908516583,156.84426462846312,b
413.73715960249547,185.58818168813792,b
392.2397580217069,177.07228768738196,b
434.98124223561666,185.00580430810902,b
449.8970771987075,148.12143446464222,b
447.6036251498471,160.7078028220244,b
410.46135871686016,104.7593552311003,b
460.4116727603656,116.3719831075095,b
430.81935868200907,124.46398175369325,b
432.17460230955317,56.059194804747506,b
422.2297086603846,86.64631812887791,b
446.43000924421807,87.95039848351587,b
455.5994559058846,47.97118327740509,b
459.6933746651381,66.37885651006115,b
498.3514022454487,58.13725751170023,b
472.9694108821378,64.643782788836,b
536.8157913737837,97.22123449166992,b
547.9771201602143,97.97159143178698,b
554.1059838428238,29.43265388419934,b
591.7886909295751,67.64823326494661,b
580.844084343053,83.15353094078523,b
607.4053866372927,81.67094782338523,b
602.7799008487075,105.41079017171614,b
625.2724633324228,94.35878900281438,b
607.6359011741063,120.65107831853163,b
598.7223567697737,189.21965341256941,b
632.5597112483917,83.94901197359468,b
599.4223135463651,149.03035040246016,b
607.7855764299682,141.02706784682766,b
579.0970509589353,176.24405756246188,b
612.7892833440419,235.41492045423814,b
579.88456272933,173.2956184859966,b
557.3574504365155,188.17950065829575,b
517.5362334129813,194.76627657208206,b
577.1492333272631,245.1992547254359,b
541.7196769627143,258.8731956290159,b
521.3174094427612,226.19643559504425,b
527.8378832286434,222.30124394636925,b
522.6906141870015,234.90841157228198,b
525.287679440281,244.2722556931887,b
481.62337417792247,226.9581052897288,b
424.125758691755,207.55181882309301,b
493.1723914304229,153.36454003731944,b
428.6704360774392,143.45858233389174,b
454.55189701627114,206.79431611858837,b
454.0163894807403,117.83357462348181,b
424.08830662202575,178.9852593159291,b
428.81354426085284,161.45483394348923,b
464.0358799255322,95.76989057529545,b
465.60744442913324,102.39264096945607,b
399.94809386331485,71.92084994710638,b
450.31144473079956,112.58161696913794,b
449.3061365102834,175.41552877964932,b
513.2322068806956,80.26206185135203,b
468.67422471866973,88.04229380678635,b
483.39669923028725,109.86163711366464,b
494.90735991032994,97.8264897606773,b
497.6357121095049,87.08684548476595,b
558.8240777044364,116.66492628338523,b
546.0229077646845,111.92173938373844,b
550.3503377117066,139.58346478475949,b
532.9870459025765,197.74019907060097,b
536.0197566245491,152.72297498505696,b
543.2801025564154,147.40761259170534,b
540.4077244080933,193.6376668670764,b
513.6951215079298,195.78413712010592,b
575.9535453366695,165.9729360758506,b
558.3929976772339,177.39626624413773,b
507.1743111826716,205.57375539778093,b
541.5452161666884,189.0830974338242,b
528.5380910003083,223.46656761991352,b
530.3469982627709,216.5689059265469,b
501.38596570228174,195.8295164580444,b
509.7810321921128,195.38474921727124,b
484.3556882967637,224.8680061123904,b
458.17382062730155,135.23662106342573,b
476.1968705113134,169.78799603810154,b
455.5839473391117,129.78676816666064,b
405.05034562523895,187.99500368622614,b
446.9005177990062,155.4685780719538,b
451.1507697199456,108.87094484111071,b
448.13893916565223,105.05814746435175,b
489.53689270358404,89.68005691447013,b
479.3175298831244,90.05840723737487,b
510.2557135068135,133.52534225690073,b
509.951061000343,129.69912352826395,b
503.2510353294835,109.38112430398309,b
570.3279017226251,104.03106022476953,b
558.2511290612453,101.39472168857878,b
553.6560187674536,164.24560632003187,b
612.7000422133223,131.5388852631687,b
582.8236153666663,140.67104849841627,b
603.1010431334405,171.40677201075198,b
596.6518141443227,179.6807549313594,b
556.1260997772802,163.304054687271,b
555.5790699601114,107.73975736493418,b
580.174303729152,153.63854840929605,b
563.9032755551823,163.7577129867193,b
534.6227148845984,160.1916218427378,b
531.6873036840992,196.15427513230918,b
500.89365746414717,183.47693160737958,b
467.20859931928715,214.44358139770617,b
513.2952751009894,169.84789259397985,b
444.6258014818584,207.39799026474384,b
497.1343048568865,145.17145868288566,b
454.8147114938425,178.1047937547575,b
455.0250488226421,172.21685064259003,b
455.888950201819,150.2081849811501,b
529.3216198309739,166.31675862032006,b
457.71232067576216,160.31437563528976,b
455.26211989466583,157.6432269349409,b
492.3108402926369,135.52759913441633,b
480.07023835157577,134.24347430959665,b
500.95629694383115,78.0047131783499,b
518.1283435481046,145.40542472090573,b
479.66475667356883,97.2866760444532,b
537.6475014951906,105.77537515879004,b
521.4036123765213,153.82627736768552,b
571.7265329211073,136.2837284618165,b
552.6948384160069,94.8049646636627,b
563.646847392328,160.62466824459182,b
521.8446994248987,147.67903966495135,b
590.5903712127633,126.01216129111043,b
574.9308406228523,151.0749751808333,b
